10.148.145.83  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.8/10.8/10.8
10.148.145.84  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.3/12.3/12.3
10.148.145.85  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.2/11.2/11.2
10.148.145.86  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.9/10.9/10.9
10.148.145.87  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.5/11.5/11.5
10.148.145.88  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.8/11.8/11.8
10.148.145.89  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.2/10.2/10.2
10.148.145.91  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.9/10.9/10.9
10.148.145.92  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.0/10.0/10.0
10.148.145.93  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.7/10.7/10.7
10.148.145.95  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.6/10.6/10.6
10.148.145.97  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.3/11.3/11.3
10.148.145.98  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.7/10.7/10.7
10.148.145.100 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.2/10.2/10.2
10.148.145.101 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.2/10.2/10.2
10.148.145.102 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.0/11.0/11.0
10.148.145.103 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.6/11.6/11.6
10.148.145.104 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.7/10.7/10.7
10.148.145.105 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.1/10.1/10.1



10.148.146.1  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.2/10.2/10.2
10.148.146.3  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.3/12.3/12.3
10.148.146.4  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.1/11.1/11.1
10.148.146.6  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.1/11.1/11.1
10.148.146.7  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.0/12.0/12.0
10.148.146.8  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.4/11.4/11.4
10.148.146.9  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.1/11.1/11.1
10.148.146.10 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.5/10.5/10.5
10.148.146.12 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.0/11.0/11.0
10.148.146.13 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.5/10.5/10.5
10.148.146.16 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.4/10.4/10.4
10.148.146.17 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.3/10.3/10.3
10.148.146.18 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.8/12.8/12.8
10.148.146.19 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.8/11.8/11.8
10.148.146.20 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.1/12.1/12.1
10.148.146.21 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.5/11.5/11.5
10.148.146.22 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.3/11.3/11.3
10.148.146.23 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.2/11.2/11.2
10.148.146.24 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 9.84/9.84/9.84
